file_name,label,full_waveform_duration,full_waveform_kurtosis,full_waveform_max,full_waveform_mean,full_waveform_median,full_waveform_min,full_waveform_skew,full_waveform_std,swt_a_1_energy_entropy,swt_a_1_high_power_ratio,swt_a_1_higuchi_fractal,swt_a_1_low_power_ratio,swt_a_1_med_power_ratio,swt_a_2_energy_entropy,swt_a_2_high_power_ratio,swt_a_2_higuchi_fractal,swt_a_2_low_power_ratio,swt_a_2_med_power_ratio,swt_a_3_energy_entropy,swt_a_3_high_power_ratio,swt_a_3_higuchi_fractal,swt_a_3_low_power_ratio,swt_a_3_med_power_ratio,swt_a_4_energy_entropy,swt_a_4_high_power_ratio,swt_a_4_higuchi_fractal,swt_a_4_low_power_ratio,swt_a_4_med_power_ratio,swt_d_1_energy_entropy,swt_d_1_high_power_ratio,swt_d_1_higuchi_fractal,swt_d_1_low_power_ratio,swt_d_1_med_power_ratio,swt_d_2_energy_entropy,swt_d_2_high_power_ratio,swt_d_2_higuchi_fractal,swt_d_2_low_power_ratio,swt_d_2_med_power_ratio,swt_d_3_energy_entropy,swt_d_3_high_power_ratio,swt_d_3_higuchi_fractal,swt_d_3_low_power_ratio,swt_d_3_med_power_ratio,swt_d_4_energy_entropy,swt_d_4_high_power_ratio,swt_d_4_higuchi_fractal,swt_d_4_low_power_ratio,swt_d_4_med_power_ratio
A00021,N,29.993333703703705,17.586632442936057,1.0786874370333628,-0.0010714864333945752,-0.005645028357805122,-0.9262567056387246,1.1230909803948645,0.16838200357083052,-18442.036210289727,1.0832535259599083,1.0362993562929383,0.287821916012339,0.742564836563864,-20905.498865630576,1.1385089642592805,1.1117420259861892,0.26840295736506575,0.14895115683106325,-23749.356632027546,0.3154412033084667,1.1616590120164119,0.268651844873625,0.09290761403970862,-26447.45925887083,0.26584061098019096,1.172305296580693,0.26877290691857664,0.09116355249968375,-23273.348113940934,1.3960296333926734,1.1417413576972293,0.5564780152025284,0.1302500742858677,-35961.47722551634,0.3156928382406624,1.3387024480992118,0.7981318876436941,0.08758608242107334,-49257.00749665533,0.16514768913610378,1.6032435481943195,0.8610309813526728,0.10658230044672384,-67495.7610894557,0.11221100566741264,1.7456300219258651,0.8764911291237087,0.13979460279675263
A00022,~,29.993333703703705,186.94339340592038,11.336602665886026,0.005919802996557927,-0.015020873944599694,-3.0537889841180177,8.539398619057406,0.44806471518916446,-8316.211240250814,1.0750272865646988,1.0463733951790701,0.20986796437494903,0.6977413751856999,-8766.184234786211,1.130546790648143,1.1291328855391118,0.2005329639723271,0.19777864794101735,-10921.285539710902,0.24733407807690103,1.2025331473094598,0.19882742609125043,0.1436009045502687,-13587.829589129085,0.1908785626348558,1.2169185236363858,0.19839658517561268,0.14315147738090328,-8193.561284394851,1.375590357933076,1.1490519522368439,0.5392840779069636,0.16809526366970653,-15769.794148194896,0.24512521395242448,1.3508773596691317,0.7612348672664924,0.09000836193770971,-29308.911535356634,0.10123435943706735,1.6814218714418188,0.8188411663871076,0.10323194025313027,-47754.33932147757,0.1222833199223789,1.8506991442072058,0.8331491459067812,0.12752573690136945
A00023,O,29.993333703703705,23.806714622657356,1.0842028589891255,0.001047268479579502,-0.0017933778749558455,-0.5699550603142504,3.847850762484912,0.14770752539064996,-21968.062264784512,1.0435517834280594,1.0433958928841691,0.24667521315947746,0.7183124228304327,-24310.447296825645,1.1016667063172219,1.1156061192426827,0.2428360958251291,0.15205721566813604,-26797.731375331878,0.28204235425141855,1.1726711865844257,0.24529608561548233,0.09775855722939564,-29474.057950865004,0.23375725625162114,1.188861397199921,0.24540516876026328,0.0961682135486981,-26300.371805606104,1.3784491504448788,1.142703781451529,0.6100358037338308,0.1376588671368235,-37174.276873673894,0.2802769995792405,1.346784764281257,0.835046845657109,0.0846206175264247,-50412.22656955099,0.14008941614842033,1.6529270978607047,0.8915677739369231,0.1187387967724077,-68218.16624825633,0.09861484042056554,1.7969907249630193,0.9053690865934945,0.16029274305883867
A00024,O,29.993333703703705,16.755880995980167,1.1273829400945934,0.000430689361035544,-0.009886727924809711,-0.4603850037007946,3.331231050800964,0.1649432513067843,-16769.95114143728,1.0888896462450133,1.0382099801283273,0.26275471437916154,0.6993354527118733,-19119.655503422007,1.159647579729699,1.0865982337762112,0.25139247934311115,0.1947859949915487,-21787.423656687053,0.3149695152285326,1.1104501109088323,0.24864081337366814,0.146843733922176,-24518.47228279919,0.2636044002283898,1.1116478069859446,0.24746507607440327,0.14503595777871997,-21549.159072744776,1.3652215492709907,1.1223829332481747,0.44034518578186993,0.16927289038564095,-33502.80339733868,0.3211704807171521,1.2861908867603715,0.6523682540150281,0.08886826170842094,-47704.74929054185,0.1607454076984746,1.5527630682009086,0.7133647053316827,0.08699589851325193,-66148.67291292355,0.10626681616291692,1.7034582190536458,0.7292472726540837,0.10762987156635016
A00025,N,29.993333703703705,20.460996708677477,1.099219440973425,0.0013044061068579317,-0.005781643631911309,-0.3760199349343453,3.7058353830226785,0.1488032787081439,-17745.434227030306,1.0861948648226938,1.038334728874681,0.2686515078838707,0.7771267356156024,-20591.160502263425,1.1441009467149361,1.0733541362605594,0.27835466594774444,0.22706445317581925,-23308.033334563344,0.28678738122555986,1.096772894444222,0.2783542836979794,0.16647003518999975,-26014.295779635602,0.23629674318668487,1.1028534078612184,0.2780883912467735,0.16473519674859116,-23960.816044029838,1.3814404147803174,1.1182497362834076,0.388461151142127,0.17512413855896838,-37904.79380944273,0.2862362660403321,1.3035726037816528,0.5655509216416682,0.08259786224576816,-51189.04201035327,0.1404898431805079,1.629942021736721,0.6197236755200493,0.10154241965859304,-69002.67422804396,0.09750155315424885,1.7841611405123323,0.6335284032272761,0.13920792360799056
A00026,N,29.993333703703705,26.423581210831326,1.0887259517066155,0.00048414696675198285,-0.005872595907309907,-0.30012395364221556,4.351557915012756,0.13842769273832964,-20306.326656621764,1.0909755990460053,1.0398816505504005,0.27752943605916197,0.7424824466418489,-23187.824923554203,1.1457894180060915,1.0864824929354893,0.26988967382791046,0.1874740749298182,-25826.11822745458,0.31576629461341527,1.1208831504313383,0.26951203703304505,0.12861486838975889,-28524.331708905793,0.26517419343869086,1.1280295314739706,0.26950428474446464,0.12684074923446234,-27413.16832033235,1.3935187580157096,1.127316008946834,0.43367027562583976,0.14786373258121172,-40367.88884983948,0.31600275317615184,1.3242336536371972,0.6661254646708292,0.08393746908122125,-53693.44986962611,0.16344644270099815,1.598553751913298,0.7302201415821682,0.1049608635002812,-72170.23466262472,0.1100918567126792,1.7430844121185132,0.7462380348216078,0.13663240951634648
A00027,A,29.993333703703705,4.1822486063895,1.1425971957176801,-0.0045362029602496285,-0.008124096548327272,-1.2617299702892755,-0.09308735831321358,0.2955402930059788,-8493.631370149393,1.0645198818882264,1.0369372890751059,0.2691615052893135,0.9947277221424822,-11232.719989061492,1.1075632172705556,1.057008667798063,0.26495903585731656,0.5368922022613659,-14013.77603835048,0.2360261149478554,1.0718584501295005,0.2635992148999445,0.4312729261550554,-16793.936522401567,0.18446829086792846,1.0724706641540362,0.2628441539082068,0.42768240519527606,-13861.401950242154,1.3890977685654207,1.0900054945947604,0.3638652705708236,0.4345327850849395,-27725.06517568967,0.23529450766748067,1.3022108478107135,0.542024577312736,0.1328347595139114,-42018.52302779402,0.10705467894190394,1.604811586596742,0.598398473753799,0.1152601075452022,-60561.60300200043,0.09816338626717254,1.7762382546841706,0.6126909425952711,0.10308297221845245
A00028,N,59.993333518518526,24.053042704926224,1.0581580252858585,0.0006426460535346552,-0.003021569327183977,-0.40015264720059524,4.127633342174877,0.14612398461420303,-42380.77034211894,1.1251768273633744,1.0449126424421114,0.26975542912538736,0.7648651802064561,-47679.321826818086,1.1774899458833166,1.0964306595801803,0.2521414498937014,0.17988946581132714,-52762.453239491784,0.38200001448042026,1.1278318250212538,0.25166560573649516,0.1267849205118072,-58154.317502896345,0.33125121908846883,1.131024983809373,0.2516289275228916,0.1252396772761187,-54227.94579560424,1.4083392201775318,1.133665215546323,0.5509689562168708,0.14476737856000368,-80778.90349349122,0.381814923376585,1.295714592057114,0.7751328620888089,0.09034849157880614,-107837.97082321753,0.21800371402295998,1.5145566025081008,0.8323273529057209,0.09283350408272596,-144336.6581689777,0.15651398721338944,1.6404456147816369,0.8464481750410682,0.10569961573868095
A00029,O,29.993333703703705,12.91192926959186,1.201930405342438,0.001084965826480434,0.008018059677692787,-1.129868894771848,1.0035822812398616,0.20413181140311137,-13604.86941009359,1.0529804763092843,1.0490170742597018,0.2968438370823877,0.5385042086665809,-15780.17603037337,1.11178800768469,1.126257349888925,0.3303571603348899,0.12338353349287218,-18913.528695320358,0.28711633119834173,1.1987178371210536,0.3300519447259716,0.08334085739434444,-21680.965693770733,0.23877196948490156,1.210673341303252,0.32958091946742457,0.08149754818846129,-17139.496815148694,1.3931051266998684,1.1489218616451555,0.4379776682770802,0.12538285176705016,-30405.216148107666,0.28633034799529683,1.3681532036577027,0.6053262110434958,0.08796763467141573,-43041.14594806946,0.14510504629382145,1.659091894742233,0.6549167463062996,0.13356936065320832,-60798.823281522535,0.10186952714467788,1.7946444037118439,0.6675691573096099,0.17686806078424883
A00030,O,59.993333518518526,17.59177430347402,1.122590818900258,-0.0005513366821539473,-0.00250653370829228,-1.3947091860904004,0.8323020746322358,0.17125910823133483,-39010.6946806147,1.070417797899459,1.0362078317288066,0.24534882823880386,0.750012234709881,-43828.87507482927,1.1281985738971105,1.1086341956461838,0.2357682512943058,0.14873206186444474,-49600.03025698326,0.3087075135798057,1.1564546919296672,0.23900938976423508,0.09484255112905424,-55052.00446526964,0.26055283885719094,1.1653396208446292,0.23969350455976204,0.09313497371837026,-49538.24210666771,1.4050284382385991,1.141152278860507,0.574694533365676,0.13507209939319503,-73407.26359751697,0.3079883490491185,1.3374843222898782,0.7923730976771407,0.0853625133039192,-99939.55430701654,0.16247951055241597,1.6102375556213306,0.8476714756151507,0.10702095263597317,-136124.68736302064,0.11333654437540687,1.75620293034107,0.8613349307486136,0.14241135134773292
